evidence_id,tool,tool_version,appraisal_type,component,criterion_code,domain,judgment_ai_provisional,basis,source_url,human_confirmed
EV-0282,MMAT,2018; full mixed-methods route,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS,Q12,intervention administered as intended,YES,2.1 Intervention Design; 2.2 Evaluation Design P1; 2.2.1-2.2.3; 3.1-3.3; Figures 1-4; 4.1; 4.3 Limitations P1-P4,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0282,MMAT,2018; full mixed-methods route,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS,Q13,rationale for mixed methods,YES,2.1 Intervention Design; 2.2 Evaluation Design P1; 2.2.1-2.2.3; 3.1-3.3; Figures 1-4; 4.1; 4.3 Limitations P1-P4,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0282,MMAT,2018; full mixed-methods route,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS,Q14,components effectively integrated,PARTIAL,2.1 Intervention Design; 2.2 Evaluation Design P1; 2.2.1-2.2.3; 3.1-3.3; Figures 1-4; 4.1; 4.3 Limitations P1-P4,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0282,MMAT,2018; full mixed-methods route,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS,Q15,integrated outputs interpreted,PARTIAL,2.1 Intervention Design; 2.2 Evaluation Design P1; 2.2.1-2.2.3; 3.1-3.3; Figures 1-4; 4.1; 4.3 Limitations P1-P4,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0282,MMAT,2018; full mixed-methods route,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS,Q16,divergences addressed,YES,2.1 Intervention Design; 2.2 Evaluation Design P1; 2.2.1-2.2.3; 3.1-3.3; Figures 1-4; 4.1; 4.3 Limitations P1-P4,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0282,MMAT,2018; full mixed-methods route,METHODOLOGICAL_QUALITY_APPRAISAL,MIXED_METHODS,Q17,components meet tradition quality,PARTIAL,2.1 Intervention Design; 2.2 Evaluation Design P1; 2.2.1-2.2.3; 3.1-3.3; Figures 1-4; 4.1; 4.3 Limitations P1-P4,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0252,MMAT Quantitative Descriptive,2018; screening + criteria 4.1-4.5,METHODOLOGICAL_QUALITY_APPRAISAL,QUANTITATIVE_DESCRIPTIVE,Q1,clear research questions,YES,Study population P1; Survey development and measures P1-P3; Results P1-P3; Table 3; Table 4; Exploratory bivariate associations; Limitations P1-P2,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0252,MMAT Quantitative Descriptive,2018; screening + criteria 4.1-4.5,METHODOLOGICAL_QUALITY_APPRAISAL,QUANTITATIVE_DESCRIPTIVE,Q2,collected data address research questions,YES,Study population P1; Survey development and measures P1-P3; Results P1-P3; Table 3; Table 4; Exploratory bivariate associations; Limitations P1-P2,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0252,MMAT Quantitative Descriptive,2018; screening + criteria 4.1-4.5,METHODOLOGICAL_QUALITY_APPRAISAL,QUANTITATIVE_DESCRIPTIVE,Q3,sampling strategy relevant,YES,Study population P1; Survey development and measures P1-P3; Results P1-P3; Table 3; Table 4; Exploratory bivariate associations; Limitations P1-P2,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0252,MMAT Quantitative Descriptive,2018; screening + criteria 4.1-4.5,METHODOLOGICAL_QUALITY_APPRAISAL,QUANTITATIVE_DESCRIPTIVE,Q4,sample representative,NO,Study population P1; Survey development and measures P1-P3; Results P1-P3; Table 3; Table 4; Exploratory bivariate associations; Limitations P1-P2,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0252,MMAT Quantitative Descriptive,2018; screening + criteria 4.1-4.5,METHODOLOGICAL_QUALITY_APPRAISAL,QUANTITATIVE_DESCRIPTIVE,Q5,measurements appropriate,UNCLEAR,Study population P1; Survey development and measures P1-P3; Results P1-P3; Table 3; Table 4; Exploratory bivariate associations; Limitations P1-P2,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0252,MMAT Quantitative Descriptive,2018; screening + criteria 4.1-4.5,METHODOLOGICAL_QUALITY_APPRAISAL,QUANTITATIVE_DESCRIPTIVE,Q6,nonresponse bias low,NO,Study population P1; Survey development and measures P1-P3; Results P1-P3; Table 3; Table 4; Exploratory bivariate associations; Limitations P1-P2,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0252,MMAT Quantitative Descriptive,2018; screening + criteria 4.1-4.5,METHODOLOGICAL_QUALITY_APPRAISAL,QUANTITATIVE_DESCRIPTIVE,Q7,statistical analysis appropriate,YES,Study population P1; Survey development and measures P1-P3; Results P1-P3; Table 3; Table 4; Exploratory bivariate associations; Limitations P1-P2,https://mixedmethodsappraisaltoolpublic.pbworks.com/w/file/fetch/127916259/MMAT_2018_criteria%20manual_2018%20-08-01_ENG.pdf,
EV-0167,JBI Quasi-Experimental Studies,2023 tool; Barker et al. 2024,RISK_OF_BIAS_APPRAISAL,QUASI_EXPERIMENTAL_STUDY,Q1,cause and effect temporal order clear,YES,Setting P1-P3; Data collection P1; Analytical sample and plan P1-P24; Sample characteristics P1-P3; Tables 1-4; Discussion P1-P9; Limitations P1-P2; Conclusion P1,https://jbi.global/sites/default/files/2026-05/2_JBI%20checklist%20for%20quasi-experimental%20studies.docx,
EV-0167,JBI Quasi-Experimental Studies,2023 tool; Barker et al. 2024,RISK_OF_BIAS_APPRAISAL,QUASI_EXPERIMENTAL_STUDY,Q2,control group present,YES,Setting P1-P3; Data collection P1; Analytical sample and plan P1-P24; Sample characteristics P1-P3; Tables 1-4; Discussion P1-P9; Limitations P1-P2; Conclusion P1,https://jbi.global/sites/default/files/2026-05/2_JBI%20checklist%20for%20quasi-experimental%20studies.docx,
EV-0167,JBI Quasi-Experimental Studies,2023 tool; Barker et al. 2024,RISK_OF_BIAS_APPRAISAL,QUASI_EXPERIMENTAL_STUDY,Q3,participants comparable,PARTIAL,Setting P1-P3; Data collection P1; Analytical sample and plan P1-P24; Sample characteristics P1-P3; Tables 1-4; Discussion P1-P9; Limitations P1-P2; Conclusion P1,https://jbi.global/sites/default/files/2026-05/2_JBI%20checklist%20for%20quasi-experimental%20studies.docx,
EV-0167,JBI Quasi-Experimental Studies,2023 tool; Barker et al. 2024,RISK_OF_BIAS_APPRAISAL,QUASI_EXPERIMENTAL_STUDY,Q4,participants received similar treatment apart from exposure,YES,Setting P1-P3; Data collection P1; Analytical sample and plan P1-P24; Sample characteristics P1-P3; Tables 1-4; Discussion P1-P9; Limitations P1-P2; Conclusion P1,https://jbi.global/sites/default/files/2026-05/2_JBI%20checklist%20for%20quasi-experimental%20studies.docx,
EV-0167,JBI Quasi-Experimental Studies,2023 tool; Barker et al. 2024,RISK_OF_BIAS_APPRAISAL,QUASI_EXPERIMENTAL_STUDY,Q5,multiple pre/post measurements,NO,Setting P1-P3; Data collection P1; Analytical sample and plan P1-P24; Sample characteristics P1-P3; Tables 1-4; Discussion P1-P9; Limitations P1-P2; Conclusion P1,https://jbi.global/sites/default/files/2026-05/2_JBI%20checklist%20for%20quasi-experimental%20studies.docx,
EV-0167,JBI Quasi-Experimental Studies,2023 tool; Barker et al. 2024,RISK_OF_BIAS_APPRAISAL,QUASI_EXPERIMENTAL_STUDY,Q6,follow-up complete or described,YES,Setting P1-P3; Data collection P1; Analytical sample and plan P1-P24; Sample characteristics P1-P3; Tables 1-4; Discussion P1-P9; Limitations P1-P2; Conclusion P1,https://jbi.global/sites/default/files/2026-05/2_JBI%20checklist%20for%20quasi-experimental%20studies.docx,
EV-0167,JBI Quasi-Experimental Studies,2023 tool; Barker et al. 2024,RISK_OF_BIAS_APPRAISAL,QUASI_EXPERIMENTAL_STUDY,Q7,outcomes measured consistently,YES,Setting P1-P3; Data collection P1; Analytical sample and plan P1-P24; Sample characteristics P1-P3; Tables 1-4; Discussion P1-P9; Limitations P1-P2; Conclusion P1,https://jbi.global/sites/default/files/2026-05/2_JBI%20checklist%20for%20quasi-experimental%20studies.docx,
EV-0167,JBI Quasi-Experimental Studies,2023 tool; Barker et al. 2024,RISK_OF_BIAS_APPRAISAL,QUASI_EXPERIMENTAL_STUDY,Q8,outcomes measured reliably,YES,Setting P1-P3; Data collection P1; Analytical sample and plan P1-P24; Sample characteristics P1-P3; Tables 1-4; Discussion P1-P9; Limitations P1-P2; Conclusion P1,https://jbi.global/sites/default/files/2026-05/2_JBI%20checklist%20for%20quasi-experimental%20studies.docx,
EV-0167,JBI Quasi-Experimental Studies,2023 tool; Barker et al. 2024,RISK_OF_BIAS_APPRAISAL,QUASI_EXPERIMENTAL_STUDY,Q9,appropriate statistical analysis,YES,Setting P1-P3; Data collection P1; Analytical sample and plan P1-P24; Sample characteristics P1-P3; Tables 1-4; Discussion P1-P9; Limitations P1-P2; Conclusion P1,https://jbi.global/sites/default/files/2026-05/2_JBI%20checklist%20for%20quasi-experimental%20studies.docx,
